INFO 2025-08-11 14:21:11,345 autoreload 28840 29436 Watching for file changes with StatReloader
INFO 2025-08-11 14:26:43,582 autoreload 28840 29436 C:\Users\youso\Documents\react-tuto\Hoolis\backend\mysite\settings.py changed, reloading.
INFO 2025-08-11 14:26:45,018 autoreload 7016 19600 Watching for file changes with StatReloader
INFO 2025-08-11 14:26:51,170 autoreload 7016 19600 C:\Users\youso\Documents\react-tuto\Hoolis\backend\mysite\settings.py changed, reloading.
INFO 2025-08-11 14:26:52,611 autoreload 25864 25088 Watching for file changes with StatReloader
INFO 2025-08-11 14:27:13,459 autoreload 25864 25088 C:\Users\youso\Documents\react-tuto\Hoolis\backend\mysite\settings.py changed, reloading.
INFO 2025-08-11 14:27:15,053 autoreload 30072 29508 Watching for file changes with StatReloader
INFO 2025-08-11 14:28:44,882 basehttp 30072 24052 "OPTIONS /auth/jwt/verify/ HTTP/1.1" 200 0
INFO 2025-08-11 14:28:44,882 basehttp 30072 23700 "OPTIONS /auth/jwt/verify/ HTTP/1.1" 200 0
WARNING 2025-08-11 14:28:45,290 log 30072 28696 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:28:45,290 basehttp 30072 28696 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
WARNING 2025-08-11 14:28:45,305 log 30072 25564 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:28:45,306 basehttp 30072 25564 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
WARNING 2025-08-11 14:28:45,372 log 30072 28696 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:28:45,373 basehttp 30072 28696 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
INFO 2025-08-11 14:28:45,378 basehttp 30072 23700 "OPTIONS /auth/jwt/refresh/ HTTP/1.1" 200 0
WARNING 2025-08-11 14:28:45,401 log 30072 25564 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:28:45,401 basehttp 30072 25564 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
WARNING 2025-08-11 14:28:45,446 log 30072 28696 Unauthorized: /auth/jwt/refresh/
WARNING 2025-08-11 14:28:45,446 basehttp 30072 28696 "POST /auth/jwt/refresh/ HTTP/1.1" 401 54
WARNING 2025-08-11 14:28:45,485 log 30072 25564 Unauthorized: /auth/jwt/refresh/
WARNING 2025-08-11 14:28:45,486 basehttp 30072 25564 "POST /auth/jwt/refresh/ HTTP/1.1" 401 54
INFO 2025-08-11 14:28:48,492 basehttp 30072 25564 "GET /store/orders HTTP/1.1" 200 17047
INFO 2025-08-11 14:28:48,644 basehttp 30072 15920 "GET /assets/animations-BrjXRtwe.js HTTP/1.1" 304 0
INFO 2025-08-11 14:28:48,676 basehttp 30072 25564 "GET /assets/index-CoAKgQOV.js HTTP/1.1" 304 0
INFO 2025-08-11 14:28:48,708 basehttp 30072 28696 "GET /assets/vendor-DbHEDQBy.js HTTP/1.1" 304 0
INFO 2025-08-11 14:28:48,737 basehttp 30072 15920 "GET /assets/index-DkRIl4To.css HTTP/1.1" 304 0
INFO 2025-08-11 14:28:48,783 basehttp 30072 25564 "GET /assets/utils-DrXv2b4w.js HTTP/1.1" 304 0
WARNING 2025-08-11 14:28:48,983 log 30072 15920 Not Found: /public/Champagne & Limousines Bold.ttf
WARNING 2025-08-11 14:28:48,984 basehttp 30072 15920 "GET /public/Champagne%20&%20Limousines%20Bold.ttf HTTP/1.1" 404 16776
WARNING 2025-08-11 14:28:49,018 log 30072 25564 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:28:49,019 basehttp 30072 25564 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
INFO 2025-08-11 14:28:49,063 basehttp 30072 15920 "GET /champagne-limousines-bold.ttf HTTP/1.1" 304 0
INFO 2025-08-11 14:28:49,093 basehttp 30072 23700 "GET /site.webmanifest HTTP/1.1" 304 0
WARNING 2025-08-11 14:28:49,105 log 30072 25564 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:28:49,111 basehttp 30072 25564 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
WARNING 2025-08-11 14:28:49,190 log 30072 15920 Not Found: /android-chrome-192x192.png
WARNING 2025-08-11 14:28:49,193 basehttp 30072 15920 "GET /android-chrome-192x192.png HTTP/1.1" 404 16683
WARNING 2025-08-11 14:28:49,220 log 30072 25564 Unauthorized: /auth/jwt/refresh/
WARNING 2025-08-11 14:28:49,220 basehttp 30072 25564 "POST /auth/jwt/refresh/ HTTP/1.1" 401 54
INFO 2025-08-11 14:28:49,430 basehttp 30072 25564 "GET /__debug__/history_sidebar/?store_id=0fa4cc8eb40f461f927fe3f1f26928f4 HTTP/1.1" 200 10087
INFO 2025-08-11 14:28:53,210 basehttp 30072 25564 "GET / HTTP/1.1" 200 17035
WARNING 2025-08-11 14:28:53,362 log 30072 25564 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:28:53,363 basehttp 30072 25564 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
WARNING 2025-08-11 14:28:53,396 log 30072 15920 Not Found: /public/Champagne & Limousines Bold.ttf
WARNING 2025-08-11 14:28:53,397 basehttp 30072 15920 "GET /public/Champagne%20&%20Limousines%20Bold.ttf HTTP/1.1" 404 16776
WARNING 2025-08-11 14:28:53,505 log 30072 15920 Not Found: /android-chrome-192x192.png
WARNING 2025-08-11 14:28:53,505 basehttp 30072 15920 "GET /android-chrome-192x192.png HTTP/1.1" 404 16683
INFO 2025-08-11 14:29:08,234 basehttp 30072 15920 "POST /auth/jwt/create/ HTTP/1.1" 200 483
INFO 2025-08-11 14:29:08,330 basehttp 30072 28696 "GET /fw-logo.png HTTP/1.1" 304 0
INFO 2025-08-11 14:29:08,366 basehttp 30072 25564 "GET /hoolis-logo.png HTTP/1.1" 304 0
INFO 2025-08-11 14:29:08,504 basehttp 30072 15920 "GET /hoolis-img/coquillage-tee-polito.jpg HTTP/1.1" 304 0
INFO 2025-08-11 14:29:08,601 basehttp 30072 15920 "GET /__debug__/history_sidebar/?store_id=7de9fa14cc7b406fb3b76e93db2bf8cd HTTP/1.1" 200 10089
INFO 2025-08-11 14:29:12,134 basehttp 30072 15920 "GET /api/ HTTP/1.1" 200 266
INFO 2025-08-11 14:29:17,635 basehttp 30072 15920 "GET / HTTP/1.1" 200 17035
WARNING 2025-08-11 14:29:17,789 log 30072 15920 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:29:17,790 basehttp 30072 15920 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
WARNING 2025-08-11 14:29:17,817 log 30072 25564 Not Found: /public/Champagne & Limousines Bold.ttf
WARNING 2025-08-11 14:29:17,818 basehttp 30072 25564 "GET /public/Champagne%20&%20Limousines%20Bold.ttf HTTP/1.1" 404 16776
WARNING 2025-08-11 14:29:17,916 log 30072 25564 Not Found: /android-chrome-192x192.png
WARNING 2025-08-11 14:29:17,917 basehttp 30072 25564 "GET /android-chrome-192x192.png HTTP/1.1" 404 16683
INFO 2025-08-11 14:29:17,968 basehttp 30072 15920 "POST /auth/jwt/verify/ HTTP/1.1" 200 2
INFO 2025-08-11 14:29:18,288 basehttp 30072 15920 "GET /__debug__/history_sidebar/?store_id=c31887f995804d61ad80a67ab7af3751 HTTP/1.1" 200 10085
INFO 2025-08-11 14:29:22,840 basehttp 30072 15920 "GET /store/products/ HTTP/1.1" 200 5692
INFO 2025-08-11 14:29:22,988 basehttp 30072 28696 "GET /media/store/Shop/Articles/top-1-1.jpg HTTP/1.1" 200 1898634
INFO 2025-08-11 14:29:23,013 basehttp 30072 9656 "GET /media/store/Shop/Articles/top-2-0.jpg HTTP/1.1" 200 1717320
INFO 2025-08-11 14:29:23,049 basehttp 30072 15920 "GET /media/store/Shop/Articles/top-1-0.jpg HTTP/1.1" 200 1797073
INFO 2025-08-11 14:29:23,140 basehttp 30072 28696 "GET /media/store/Shop/Articles/pants-1-0.jpg HTTP/1.1" 200 2503585
INFO 2025-08-11 14:29:23,215 basehttp 30072 9656 "GET /media/store/Shop/Articles/pants-4-0.jpg HTTP/1.1" 200 1088788
INFO 2025-08-11 14:29:23,237 basehttp 30072 15920 "GET /media/store/Shop/Articles/pants-2-0.jpg HTTP/1.1" 200 675541
INFO 2025-08-11 14:29:23,248 basehttp 30072 15920 "GET /__debug__/history_sidebar/?store_id=0b806da1b01d450f96078e8f6bc5b38c HTTP/1.1" 200 10085
