ID,DateFounded,Headquarters,Type,Industry,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,AnnualRevenue
Company1,12/07/2004,Los Angeles,Non-Tech,Services,4,3.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,3,2,0,1,3,5,5,2,2,5,0,1,0.0,0.0,2.0,2.0,0,
Company2,01/17/2012,San Francisco,Tech,Services,2,7.5,4.0,4.0,2,2,5,5,5,5,2,5,7.5,0,2,4,0,0,1,4,1,3,25,0,2,0.0,0.0,4.0,2.0,0,
Company3,09/09/2005,Chicago,Non-Tech,Services,4,5.0,4.0,5.0,1,5,5,4,4,4,3,3,4.0,3,0,0,5,5,4,5,1,3,4,5,0,5.0,0.0,3.0,3.0,3,
Company4,02/19/2004,Chicago,Non-Tech,Finance,2,5.0,4.0,4.0,2,3,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,2,3,0,0,0.0,0.0,4.0,3.0,0,
Company5,02/09/2000,Tucson,Non-Tech,Other,3,4.0,4.0,4.0,1,2,5,5,4,5,2,5,5.0,0,0,0,0,0,2,1,1,2,1,0,0,0.0,0.0,1.0,3.0,0,
Company6,01/23/2009,Seattle,Non-Tech,Finance,2,4.0,4.0,4.0,1,1,5,4,5,5,3,5,5.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,
Company7,11/14/2012,Boston,Non-Tech,Services,4,4.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,3,2,4,2,4,4,5,1,3,3,2,2,2.0,3.0,3.0,2.0,5,
Company8,10/04/2000,San Jose,Tech,Services,9,4.0,5.0,3.0,1,4,10,3,5,8,5,5,3.0,3,4,15,1,15,2,15,3,1,5,3,0,0.0,0.0,2.0,2.5,5,
Company9,07/14/2007,Houston,Non-Tech,Finance,1,4.0,5.0,4.0,2,3,1,5,5,5,1,5,5.0,0,0,0,0,0,2,1,1,1,1,2,0,0.0,0.0,1.0,3.0,0,
Company10,01/22/2013,San Francisco,Tech,Finance,12,5.0,3.0,4.0,1,2,2,4,10,10,4,4,7.5,0,0,0,0,0,10,5,2,2,4,0,10,12.5,10.0,12.5,10.0,15,
Company11,07/30/2010,San Francisco,Tech,Services,5,5.0,4.0,4.0,1,4,5,4,4,4,2,3,4.0,4,2,3,0,0,1,2,5,3,4,0,0,0.0,5.0,3.0,3.0,0,
Company12,01/22/2013,New York,Tech,Finance,4,7.5,4.0,6.0,2,2,5,3,10,5,6,10,5.0,9,0,12,0,0,5,5,5,5,5,0,10,0.0,10.0,12.5,10.0,15,
Company13,09/28/2008,Chicago,Non-Tech,Services,5,4.0,4.0,4.0,2,4,5,5,4,4,2,5,5.0,0,5,0,0,0,5,1,3,1,1,2,0,0.0,0.0,5.0,0.0,0,
Company14,08/02/2011,Bellevue,Non-Tech,Services,3,3.0,5.0,4.0,2,3,5,4,5,5,1,5,5.0,2,1,3,1,4,5,2,1,1,5,2,1,0.0,0.0,3.0,1.0,0,
Company15,09/09/2012,Boston,Non-Tech,Services,3,4.0,5.0,4.0,2,2,5,4,5,5,4,5,5.0,5,4,5,5,4,5,5,4,2,5,1,1,1.0,0.0,2.0,3.0,5,47585000.0
